地点,短评,天数,人均费用,人物,玩法
张家界,一篇【张家界自由行全攻略】告诉你，一年四季分别最适合去张家界哪里＿＿？,3,2000,家庭,自驾 环游 美食 夏季
张家港,【张家港】借我一条采香经，寻访诗歌里的城,3,1500,三五好友,深度游 短途周末 穷游 自驾 漫游 摄影 美食 人文 踏春
常州,【东方盐湖城】梦回茅山，宛入桃源,2,2000,亲子,深度游 短途周末 漫游 古镇 美食 人文 踏春 清明
无锡,无锡不算旅行的5日游（带你逛无锡的各家书店）,5,1100,独自一人,美食 穷游
上海,横沙岛&电影博物馆&田子坊1日游,1,100,独自一人,海滨海岛 徒步 摄影 短途周末 人文
上海,5.18带你走近中国航海博物馆,1,100,独自一人,摄影 徒步 人文 夏季
张家界,张家界自由行旅游攻略,3,800,三五好友,深度游 自驾 漫游 摄影 人文 五一
清迈,60小时打卡清迈.<没毛病,4,1800,闺蜜,美食 古镇 骑行 短途周末 人文 穷游
夹江,先去吃口甜皮鸭，再去看看千佛岩,1,70,家庭,自驾 夏季
湟中,青海等风等你来,3,1500,闺蜜,第一次 穷游 毕业游 购物 摄影 美食 人文 五一
济南,济南两日游加一天爬泰山,3,500,独自一人,穷游 骑行
文昌,看风景游沙滩吃美食探古村，海南东半岛度假浅度自驾游,5,2000,三五好友,美食 海滨海岛 自驾 摄影 穷游
开封,横看河南泼墨山水，纵览中原古今风情,12,2500,独自一人,毕业游 夏季
南通,【南通】你是我的诗篇，读你千遍也不厌倦,3,1500,三五好友,第一次 深度游 短途周末 自驾 毕业游 古镇 美食 人文 踏春
共和,跟我走！带你畅玩最美海泉湾！,2,370,家庭,深度游 穷游 自驾
张家界,去张家界旅游玩几天？必玩景点及行程安排推荐！,3,760,三五好友,短途周末 漫游 毕业游 端午 夏季 暑假 赏秋 中秋节 国庆 万圣节
上海,#干货#无人机的世界，你绝对看不到的上帝视角,1,1000,学生,毕业游 摄影 端午 暑假
苍南,#东南DX3夜猫行动#见山是山，见海是海，山海之约若有时，我在苍南等着你,3,1500,三五好友,深度游 自驾 摄影 美食
北京,芬芳五月，陪伴父母游北京!,5,2500,家庭,漫游
曲阜,登五岳之首，游圣人故里,2,1700,三五好友,漫游
上海,初夏·初见上海,3,2800,三五好友,漫游 摄影 人文 夏季
乐山,放下凡心说走就走——峨眉山乐山暴走一天半,2,700,独自一人,第一次 短途周末 古镇 踏春 夏季
珠海,『周末游』-深圳&珠海横琴长隆海洋王国超详细攻略,3,1800,情侣,深度游 短途周末 自驾 摄影 美食 五一 夏季
重庆,感受西南魅力——成都、重庆四日游,4,2400,独自一人,摄影 夏季
苍南,我曾经跨过山和大海，却尤恋这一片苍南,3,2000,三五好友,短途周末 自驾 古镇 摄影 美食 人文 海滨海岛
崇明,上海崇明2日游,2,200,独自一人,摄影 徒步 夏季
长沙,湖南五一小月半→翻山越岭来看你,12,1300,闺蜜,摄影 穷游 五一 第一次
温州,5天4晚自驾传奇温州--“海陆空”发现神奇另一面,5,2500,三五好友,深度游 短途周末 自驾 古镇 摄影 人文 海滨海岛 夏季
上海,上海海湾国家森林公园1日游,1,100,独自一人,短途周末 摄影 徒步 人文
拉萨,小姑娘拉萨流浪记,4,2000,独自一人,美食 第一次 穷游
多哈,『卡塔尔』探秘中东的神秘土豪国度40℃高温下的多哈一日游,1,1000,独自一人,短途周末 徒步 摄影 人文
黄山,黄山美如画（黄山攻略）,4,1200,情侣,第一次 摄影 五一
恩施,说走就走的旅行~闺蜜游~恩施站,5,1500,闺蜜,穷游 自驾 徒步 漫游 摄影 踏春 五一 端午
西安,2018年5月游西安,3,1300,家庭,第一次 短途周末 摄影 夏季
扬州,美食美景在扬州——五一自驾游,3,1400,三五好友,短途周末 自驾 五一
武隆,踏歌和鸣找稻幸福武隆天坑寨子近距离感受民族文化,1,120,家庭,深度游 自驾 人文 五一
武汉,暴走武汉，吃货的打卡之旅,3,1200,独自一人,第一次 穷游 美食
青岛,青岛玩海之旅--带着宝宝去旅行,3,1000,亲子,漫游 摄影 海滨海岛 五一 夏季 暑假
厦门,厦门，深度逛游的文化体验（附：去鼓浪屿如何乘船？）,5,2500,独自一人,摄影 美食 海滨海岛
阳朔,请君入画之——桂林山水记,6,2400,情侣,漫游 古镇 美食 五一
上海,走进百年愚园路,1,50,独自一人,骑行 短途周末 摄影 徒步 人文 夏季
泰国,浪漫泰国、人妖成群，我被差点被非礼了,6,2000,情侣,五一
香港,香港徒步天堂——麦理浩径玩乐航拍一二段,2,738,三五好友,短途周末 穷游 徒步 摄影 海滨海岛 五一
武陵源,风景如画的湖南8日游,8,1500,独自一人,穷游
泸沽湖,面朝大海，春暖花开-泸沽湖,5,2500,家庭,美食 自驾 骑行
长沙,长沙走透透，用两天年假拼起的吃香喝辣旅程,4,2500,情侣,踏春
日照,郊游新去处，两天一夜五莲山水行,2,1000,三五好友,短途周末 五一
北海,面朝大海春暖花开の北海、涠洲岛三天游,3,1000,闺蜜,短途周末
丽江,一个在丽江生活三年的人给你的一点旅行建议,4,2000,三五好友,美食 古镇 摄影 夏季
德钦,期待已久的流浪记……雨崩徒步,6,140,独自一人,穷游
重庆,“山城探吃”之重庆四日超详细自由行（内含大量实用信息）,4,1800,三五好友,深度游 穷游 自驾 徒步 游轮 环游 古镇 购物 美食 跨年 春节 冬季 寒假
纽约,两大一小美国十年签B1/B2填表和面签实录（详细攻略）,1,1080,家庭,第一次
西安,用手机记录西安的行程,6,1200,独自一人,第一次 穷游 五一
迪士尼,大琳小晴的HkDisney疯狂之旅,4,2000,亲子,深度游 短途周末 自驾 摄影 春节
亳州,安徽亳州5天4夜，带你看4000多年的文化故事,5,2500,三五好友,漫游 古镇 人文 五一
香港,打卡网红屋邨，解锁香港海陆空玩法,2,1000,三五好友,短途周末 穷游 毕业游 购物 摄影 踏春 清明 五一 端午 暑假
西安,回大唐梦游网红城市,5,1300,闺蜜,美食 古镇 摄影 徒步 探险 人文 第一次 穷游 五一
通辽,小众城市—通辽两日自由行,2,450,家庭,第一次 深度游 短途周末 摄影 人文 踏春
攻略,回忆乡愁，灵山秀水，诗意丫山，养心度假天堂,3,2000,家庭,第一次 短途周末 漫游 美食 踏春
圣亚海洋世界,在圣亚海洋世界青春记忆里体验童年乐趣,3,300,家庭,踏春
涠洲岛,拥抱夕阳一一行摄北海涠洲岛,4,2000,家庭,自驾 摄影 海滨海岛
蒙山,漫步云端，回首却是沂蒙山,3,500,家庭,短途周末 自驾
日照,再次约会日照，从初识到挚友（三次日照游的经验告诉你）,3,300,三五好友,深度游 自驾 美食 五一 端午
峨眉山,四度上峨眉看四川人如何带你玩转峨眉山,4,2000,情侣,短途周末 徒步 摄影 美食 人文 温泉 踏春
大理,一路向西昆明、大理及丽江五日游——Echo宋的游记,5,2300,独自一人,古镇 短途周末 徒步 人文 穷游 五一
杭州,五月，你好！五月天，你好！杭州，你好！,3,500,闺蜜,美食 徒步 穷游 五一
吴江,#东南DX3夜猫行动#慢游吴江——桑果飘香岁月暖，圆一场关于枕水江南的梦,3,1000,三五好友,深度游 短途周末 漫游 古镇 摄影 人文 五一
西安,铁丁家西安探亲游学6日游,6,1000,家庭,人文
银川,贺兰山缺，塞上江南，一个和西夏王朝有关的地方,3,2000,独自一人,摄影 探险 人文 踏春
合肥,黄山、宏村、合肥，贴心攻略送给你,7,2000,三五好友,深度游 徒步 古镇 五一
大余,回归老家，亲近自然，乡约大余丫山（两天一夜自由行攻略）,2,100,三五好友,深度游 短途周末 五一
西昌,五一西昌亲子自由行，不只是路过！,3,1000,亲子,穷游 海滨海岛 五一
嵊泗,嵊泗枸杞岛，美的刚刚好……,3,1200,三五好友,美食 海滨海岛 骑行 游轮 短途周末 摄影
梅州,重回客都，挖掘记忆深处的味道（梅州最地道的美食攻略，吃货中的葵花宝典）,5,1000,闺蜜,深度游 徒步 摄影 美食 人文
银川,梦入西北——银川、中卫、西宁、兰州,12,2800,学生,穷游 摄影
沙县,三明沙县永安两天一晚小吃行,2,300,情侣,短途周末 五一
大同,那个脑海中不一样的大同,4,2000,独自一人,第一次 五一
横店,横店亲子游之坐着热气球穿越回故宫,3,1000,亲子,短途周末
横店,戏精Girl大横国穿越多时空，横店这么玩才带劲！,2,1200,三五好友,深度游 五一
香港,香港大屿山一日游——海陆空全方位一体的旅游,1,700,独自一人,短途周末 游轮 环游 五一
黄山,春日黄山2日游,2,1000,三五好友,徒步 探险 五一
南京,带上爸妈下江南,9,2200,家庭,第一次 漫游 赏樱 踏春
博尔贾,浅受日光寻找贝加尔湖在南西坡利亚浅受超长日光,1,1000,三五好友,端午 夏季
香港,祖孙三代同游，12刷香港，你到底有多好玩,2,1000,家庭,短途周末 摄影 美食 人文 春节
涠洲岛,阳朔-涠洲岛山海与你，我都爱❤,6,2300,闺蜜,海滨海岛 古镇
成都,西成高铁一路逛吃独家美食全攻略！三天两夜成都玩乐指南请收好！,3,500,三五好友,短途周末 清明
广州,暴走广州四日游--两人--三月三,4,2300,家庭,第一次
重庆,两年前说过要来的3D重庆,5,2000,闺蜜,美食 古镇 摄影
杭州,不负暖阳好时光，带着小宝去杭州，春日游园会,4,1800,家庭,短途周末 摄影
阳朔,慢悠悠的阳朔四日游,5,2500,亲子,第一次 踏春
横店,自驾游横店，老司机来告诉你到底该怎么玩,3,1000,三五好友,第一次 摄影 人文 五一
重庆,一个适合用脚步丈量的城市——重庆,6,2500,三五好友,美食 人文 踏春
西宁,天堂之境在西北——青海大环线指南（西宁市区，塔尔寺，青海湖环线，祁连山）,5,2500,情侣,骑行 毕业游 摄影 徒步 探险 人文
广州,广州探店吃吃吃别客气，记录吃过的地方，再也不怕朋友来了,1,150,三五好友,摄影 美食 国庆
广州,长隆动物世界2日游,2,2500,亲子,短途周末
合肥,合肥万达乐园武林美食大荟一日浪游记,1,200,三五好友,短途周末 自驾 美食 踏春
努瓦勒埃利耶,斯里兰卡——铁轨与茶山，海岸与风,14,1600,闺蜜,摄影 人文 海滨海岛 跨年 圣诞
池州,【徽韵皖南】大美牯牛降，中国的东九寨，世界的西黄山,3,1200,三五好友,第一次 短途周末 古镇 摄影 美食 踏春
黄山区,黄山宏村三日游（2018雾雨凌黄山，季春宿宏村）,4,1500,家庭,漫游 踏春
深圳,毕业旅行第一弹之自high珠江三角洲地区,6,2600,独自一人,毕业游
池州,【冬游·九华】看银装素裹，听梵音诵经,3,1500,三五好友,短途周末 摄影 人文 冬季
荔波,醉美贵州,3,750,闺蜜,短途周末 踏春
东极岛,不见蓝海冬季东极——舟山东极岛游记2017.2.5-2.7,3,500,亲子,摄影 海滨海岛 冬季
贡嘎,王者之峰—领略木雅圣地环贡嘎,3,1400,三五好友,深度游 自驾 摄影 探险 人文 夏季
南浔,【南浔】如果我要去流浪，带的行李只有你,3,1000,情侣,漫游 古镇 摄影 蜜月 国庆
瓦莱塔,马耳他？地中海的明珠！《权利的游戏》取景地之一，拥有世界上最美的海景~~,5,2000,学生,深度游 毕业游 摄影 蜜月 五一 夏季
仙本那,我要让身体和灵魂都在路上——马来西亚仙本那、马达京岛、邦邦岛、马步岛十二日游,12,1500,家庭,美食 海滨海岛 古镇 游轮 漫游 穷游 潜水
卡塔尼亚,意大利还能穷游？卡塔尼亚，一个面朝大海背靠火山的城市，物价低，超适合生活！,2,1000,情侣,穷游 毕业游 摄影 五一 暑假
重庆,爱上重庆，一座3000岁的网红城市！,4,800,三五好友,深度游 摄影 人文 踏春
南昌,婺源～宏村～黄山暴走三天的旅程,3,2500,家庭,清明
绍兴,【醉于，绍兴】一碗绍兴酒，一场水城梦（绍兴三日周末游）,3,800,独自一人,深度游 短途周末 古镇 摄影 美食 人文 踏春 清明
嵊泗,【世说西语】枸杞山海经：陌上花开，可缓缓归矣枸杞岛,3,1600,三五好友,摄影 海滨海岛
汕头,我想要带你去好吃的大潮汕！,3,1000,三五好友,短途周末 骑行 摄影 美食
奥斯陆,奥斯陆|上榜《孤独星球》2018最佳旅行目的地！快来这里等待你的一见钟情？,3,1000,情侣,毕业游 摄影 蜜月 五一 夏季 暑假
华欣,华欣？来自泰国的小众城市，泰国王室的度假胜地！美过清迈，还极少看见国人！！,5,1500,学生,穷游 毕业游 摄影 美食 蜜月 海滨海岛 夏季
青岛,嫌假期太短，无处可玩？青岛3天2晚，给你一千元的小众慢生活！（行程费用揭秘）,1,1000,学生,短途周末 穷游 摄影 美食 海滨海岛 五一
和歌山市,津轻铁道+动漫风？日本最具特色的电车铁道！铁道迷们，还不来迅速打卡拍美照呀！,1,500,学生,穷游 摄影 探险 夏季 暑假
武陵源,张家界两日游，欣赏江山如画的世外美景,2,2000,三五好友,短途周末 徒步 摄影 人文 踏春
泸沽湖,渴望已久的流浪记……泸沽湖,6,150,独自一人,古镇 徒步 人文
林芝,自驾丙察察线——再也不想来第二次的精彩体验,5,2000,家庭,深度游 自驾 摄影 探险 人文 赏秋
荥经,去寻找那些一生只做一件事的匠，荥经短途吃喝之行,2,300,三五好友,第一次 深度游 短途周末 徒步 古镇 摄影 美食 踏春
重庆,寻找“山城”重庆的神秘,3,2500,闺蜜,徒步 毕业游 美食 夏季
上海,读.享一日好时光,1,100,独自一人,短途周末 摄影 徒步 人文 骑行
成都,中国凉都—六盘水；吃货天堂—成都,6,2600,三五好友,美食 穷游
西安,下了雪，西安便成了长安，一个周末的时间，吃遍西安小吃，吃不胖三斤算我们输！,3,2800,闺蜜,第一次 短途周末 摄影 美食 人文 冬季
厦门,不负春光，不负年华，重新出发,4,2000,三五好友,第一次
大理,两位油腻男的艳遇之旅11天、2000km、洱海三圈、泸沽湖、雪山,11,2000,三五好友,深度游 自驾 摄影 踏春
东京,如何玩转日本的四大游乐园？！终极攻略来袭！,5,1000,学生,深度游 探险 冬季
婺源,夏宁葆在江西篁岭看油菜花。,3,368,家庭,古镇 摄影 人文 踏春
攻略,抖音这么火的地方！你不知道？那些点赞率超高的绝美地，我们帮你找到了！,3,1000,学生,穷游 毕业游 摄影 美食 夏季
黄山,夏宁葆在安徽徽州地区春游之一。,1,368,家庭,古镇 人文 清明
丽江,云南9天毕业游，好好告别学生时代，放肆玩人均不到2k噢,9,2000,三五好友,毕业游 赏秋
庐山,和外婆一起的九江庐山深度游,7,1500,家庭,深度游 暑假
扬州,#weekender旅行箱体验#春风十里扬州路，烟花三月下江南,2,2500,情侣,深度游 短途周末 人文 踏春 清明
北京,毕业最后一餐|那些爆火的网红大学食堂，伴着食堂的菜香味，告别青春！（北京篇）,1,200,学生,深度游 毕业游 美食 夏季
西安,一人独行，十月长安,3,1093,独自一人,美食 摄影
婺源,醉美婺源，油菜花的诗情画意,4,1500,家庭,短途周末 踏春
敦煌,《孤独星球》评选亚洲最佳旅游地！甘肃竟成亚洲行终极目的地！绝美景色新鲜出炉~,5,2000,三五好友,深度游 自驾 摄影 五一
南昌,恋山恋水恋梅岭，邂逅春色与佳人,2,1200,三五好友,短途周末 自驾 摄影 美食 人文 踏春 清明
上海,共青国家森林公园：用美景纪念青春,1,100,独自一人,徒步 摄影 人文 短途周末
北京,带着老爸游北京,7,2500,家庭,人文
第一天坑,#亚洲“第一天坑”盛装出境#亚洲还有哪些潜在秘境？最后一个居然在中国？,10,2500,三五好友,穷游 摄影 探险 五一 暑假
尼亚加拉瀑布城,从美国史书到玉瀑宝珠-（波士顿攻略+尼亚加拉瀑布跟团）,6,1600,闺蜜,深度游 短途周末 徒步 环游 踏春
泽西岛,自驾神秘泽西岛探寻富豪度假天堂～,2,2888,独自一人,深度游 自驾 古镇 圣诞 冬季
二连浩特,骑行二连——那是一段关于青春的记忆,7,350,三五好友,骑行 赏秋 国庆
滁州,四月滁州，寄情山水，时空交错中与太守同游,2,2000,三五好友,短途周末 漫游 踏春
黄姚古镇,广西——看山，看水，逛古镇,6,1500,闺蜜,第一次 骑行 古镇 摄影 踏春
上海,确认过眼神~~遇见这座城,1,100,独自一人,徒步 摄影 人文 短途周末
汕头,原本来汕头，仅因为对一碗白粥的执念，却深入体验了一把当地人的生活,5,2000,独自一人,第一次 深度游 摄影 美食 人文 春节 寒假
丽江,【云南】在春风荡漾的日子里，带你拍摄丽江、泸沽湖、洱海那些美哭了的地点,10,2900,三五好友,自驾 古镇 摄影 春节
厦门,带上摄影师，五天五夜厦门行~,5,2500,闺蜜,徒步 摄影
西安,送你史上最全的西安攻略！这个五一，我们领包就走，去长安城下感受历史轮回？,1,1500,学生,漫游 摄影 五一
攻略,#夏季去哪儿玩？#南北方最美避暑地盘点！这些才是最凉爽的天然空调！,1,300,学生,深度游 穷游 摄影 夏季
杭州,诗意杭州，梦里天堂,5,1500,闺蜜,深度游 骑行 漫游 摄影 美食 探险 人文
香港,最经济的HongKong三日游☺️学生党看过来~,3,2000,家庭,摄影 人文 美食
赣州,你犹在我心上，一茶一车一鱼一石一画，念念不忘！,3,900,三五好友,深度游 短途周末 人文 踏春 清明
池州,九华楼台烟雨中，山寺桃花始盛开——清明节游九华山,2,1600,三五好友,第一次 清明
武汉,总该去一次武汉，与春天来一场温柔又文艺的约会。,4,2500,独自一人,漫游 摄影 美食 人文 清明
张家界,我的2016#踏上年末最后一个3天2夜张家界玻璃桥之旅,3,2000,三五好友,摄影 探险 人文 冬季 寒假
庐山,东林西上，咬定庐山不放松,3,668,独自一人,第一次 人文 冬季 寒假
重庆,#毕业分手季#重庆12个治愈系小众古镇，回忆青葱岁月，忘不掉的只有你！,7,1000,独自一人,穷游 漫游 摄影 美食 夏季 暑假
苏州,自驾去“东方威尼斯”：夜宿同里古镇，春游太湖如家小镇,3,800,情侣,短途周末 自驾 古镇 清明 五一
厦门,厦门，那些很冒险的梦！,3,900,闺蜜,穷游 骑行 摄影 美食 海滨海岛
广州,【逛吃のDEMO】访新探古的时光，广州四日还不够,4,1500,独自一人,深度游 摄影 美食 人文 冬季
桂林,桂林三日游，携子之手与子偕老,3,2000,情侣,短途周末
武陵源,我与张家界的不解情缘，一次美丽的邂逅，张家界我真的在想去一次。,4,1600,闺蜜,第一次 暑假
顺德,寻味顺德,7,1000,家庭,自驾
厦门,假如只有三天时间我会带你这样游厦门,3,2600,独自一人,短途周末 穷游 购物 美食 蜜月 人文 赏樱
广州,广州金沙洲，用一日还你千年历史,1,10,独自一人,短途周末 徒步 人文 踏春 清明
武陵源,广州出发张家界凤凰古城四日包车全景游,4,2800,三五好友,第一次 深度游 穷游 自驾 漫游 毕业游 古镇 摄影 美食 人文 清明
北京,带上父母去北京,4,2500,家庭,清明
重庆,暴走重庆,5,2500,独自一人,穷游 徒步 漫游 人文 清明
凤凰,我来听你的演唱会,5,2000,闺蜜,古镇 冬季
甲米,想去海岛？我在甲米等你,3,1000,三五好友,环游 摄影 美食 探险 海滨海岛 潜水 清明
无锡,一朝繁花似錦，雨來落英繽紛，且聽吳儂軟語，最是煙雨江南,2,864,独自一人,短途周末 漫游 古镇 赏樱 清明
攻略,不写游记的不是好Traveler,5,1200,学生,穷游 国庆
黟县,#东南DX3夜猫行动#春“黟”盎然，醉在徽韵春色，漾在花海桑田,3,1500,三五好友,骑行 古镇 人文 踏春
济南,泉白如玉，湖畔风光，干佛洞崖，记泉城三大精华景点之旅,2,1500,三五好友,短途周末 摄影 人文 穷游
厦门,这一座海上的城，春天飘着楹花香,5,1500,家庭,深度游 踏春
青岛,青岛3日游,2,1000,学生,美食 短途周末 摄影 徒步 人文
伊犁,听风，看雨，随心而走。。。新疆~伊犁篇,6,1000,独自一人,第一次 穷游 夏季
酉阳,去酉阳探寻梦中的桃花源，品味龚滩千年古镇，船游乌江百里画廊,2,500,闺蜜,自驾 摄影 踏春
大连,爱你带你走遍全世界，文艺范儿的大连之旅,3,900,亲子,徒步
海口,三月椰城椰青香,5,1800,三五好友,海滨海岛 踏春
重庆,重庆丨勒是雾都，是山城，是一座文艺而魔幻的江湖城市,3,850,情侣,深度游 短途周末 穷游 古镇 摄影 美食 人文 赏樱 踏春
六安,九十里山水画廊，今生定要与你相约，把美好都留给你！,3,1500,三五好友,深度游 短途周末 自驾 古镇 摄影 美食 人文 踏春
重庆,到千年古城酉州访古问今，寻觅陶渊明笔下的世外桃源,3,2600,三五好友,第一次 短途周末 徒步 漫游 古镇 摄影 人文 踏春 清明
重庆,【重庆之色】一次快门致岁月，一顿火锅敬自己,4,2000,情侣,徒步 漫游 摄影 美食 人文 踏春
南京,南京5日游,5,2700,闺蜜,美食 骑行 徒步
成都,闲适蓉城迷失山城,5,2500,独自一人,深度游 端午
歙县,#春天去哪儿玩#只知道西递宏村？皖南私藏15个小众旅游地，风景美爆！游人超少！,2,200,家庭,短途周末 自驾 古镇 人文 踏春 清明 五一 端午 夏季 暑假
曼谷,四大天王征战泰王国,10,2800,学生,第一次 穷游 毕业游 购物 海滨海岛 潜水 五一
蔚县,佛系文艺蛙的古城巡游记河北三日游之蔚州古城暖泉古镇,3,1000,家庭,环游 人文 踏春 清明
贾夫纳,跟随夏宁葆去内战25年的贾夫纳半岛,3,100,三五好友,人文 海滨海岛 冬季
西昌,浮生二日，勇闯荒野。泸沽四日，悠闲带娃。牵着小手看尽四川最美时节,8,1200,三五好友,自驾 徒步 摄影 探险 赏秋
琅勃拉邦,那个被上帝偏爱的地方，现在一切安好。——彩云之南,15,2600,独自一人,穷游 漫游 摄影 春节
攻略,#毕业旅行季#花样毕业旅行？一次全部满足你！超适合学生党的国内小众旅游地推荐！,5,1000,学生,穷游 毕业游 美食 探险 清明 五一 端午 夏季 暑假
济南,济南✞已没有少年在垂头哭泣,3,700,三五好友,人文 冬季
南京,看秦准两岸风光，品十朝都会文化,4,1500,闺蜜,购物 美食 徒步 人文 深度游 穷游 冬季 春节
武汉,花瓣飞舞の时--武汉三天赏樱の旅,3,1500,家庭,第一次 短途周末 赏樱 踏春
婺源,最美乡村之花季婺源,2,500,家庭,自驾 古镇 摄影 清明
西安,带着爸妈去旅行历史盲的西安印象（超多美食）,4,2600,家庭,人文 冬季
贵阳,这里是中国最低调的秘境，却藏着让世人惊艳的绝美风景，还有春日最壮观的花海盛宴！,5,1000,三五好友,深度游 穷游 古镇 摄影 踏春 清明 五一 端午 夏季 暑假
武汉,武汉小众地图，周末吃喝玩乐路线推荐丨文末有美食测评,2,2000,情侣,深度游 短途周末 漫游 美食 人文 国庆
婺源,婺源我来了,1,1200,闺蜜,第一次 摄影 踏春
杭州,春节杭州、苏州、上海、厦门疯狂自驾之旅,8,2500,家庭,自驾
琅勃拉邦,我和滚滚的东南亚四国游：老挝篇,10,1200,独自一人,骑行 赏秋
西双版纳,异域风情中沉醉，在那山那水中痴迷,4,2999,三五好友,美食 短途周末
北京,穿梭在老北京,5,2500,家庭,第一次 深度游 古镇 美食 人文 清明
上海,春天，我在宝山等你,1,100,独自一人,徒步 摄影 短途周末
西安,巧得三日空闲，游玩十三朝古都。,3,1500,闺蜜,美食 骑行 毕业游
中山,中山，遇见风情万种的你,3,1000,三五好友,春节 踏春
华南,#华南自驾篇#5条自驾线路，带你玩遍整个华南！绝美风景陪你一路畅行！,5,1000,情侣,深度游 自驾 摄影 美食 夏季
芽庄,我和滚滚的东南亚四国游：越南完结篇,25,2600,独自一人,第一次 深度游 骑行 海滨海岛 跨年
长沙,『湖南长沙』——舌尖上的湘东之旅,3,1000,三五好友,短途周末 漫游 摄影 美食 端午
武汉,武汉，相约在三月。,2,500,独自一人,摄影
金门,“金”厚加我和呆霖在金门的三天,3,1500,情侣,漫游 人文 冬季
攻略,仅有极少人知道的秘境之地！这20个地方让世界惊奇，中国竟有3个上榜！,5,2000,三五好友,深度游 自驾 摄影 探险 夏季
台州,越野E族台州分队，豪情万丈穿越浙西川藏线,2,500,三五好友,自驾 踏春
南京,醉江南*寻找历史的印记·扬州-南京-上海6日游,1,2000,三五好友,徒步 漫游 摄影 美食 国庆
杭州,十年杭州。一份特别不完全的小众杭城印记,5,4,三五好友,深度游 踏春
攻略,#毕业穷游季#比国内游还便宜的5个国家，花最少的钱？满足你最奢华的旅行！,5,1000,学生,穷游 毕业游 摄影 美食 夏季
阿坝,2018四川最美自驾线路集锦！一场自驾，风驰电掣伴着美景如画！你心动了吗？,4,1000,三五好友,深度游 自驾 摄影 探险 夏季
南疆,带着大疆游大新疆（南疆篇）,5,2000,三五好友,自驾 摄影 夏季
太宰府市,蓝宝石公主号邮轮之旅,5,2699,三五好友,游轮 夏季
松原,这条铁路被称为“草原湿地动车”经过的个个都是美景！（内含站点美食和特色美景）,2,200,三五好友,短途周末 穷游 摄影 夏季
汉中,汉中赏花轻松两日游（一）,2,600,情侣,短途周末
余姚,山水相依，醉是那一抹温柔,3,2000,三五好友,摄影 人文 夏季
南昌,#南昌美食篇#南昌竟有这么多老字号餐馆！8090后快来看！哪些是陪你长大的？,2,200,学生,深度游 穷游 美食 暑假
婺源,清明三天去哪儿玩？江西又现8个冷门古镇！带上老人孩子，在江南烟雨中赏花漫步~~,3,500,亲子,漫游 古镇 摄影 美食 清明
西宁,独自前行，邂逅西北,6,2800,独自一人,第一次 漫游 毕业游 古镇 摄影 美食 人文 踏春 寒假
梅里雪山,彩云之南----一个人的秘境,8,1000,独自一人,第一次 深度游 穷游 徒步 古镇 摄影 美食 探险 春节
天津,国际幸福日，你幸福吗？国内十大最具幸福感的城市，难道是因为这些美食~~,1,1000,情侣,短途周末 美食 端午 夏季
黄山,一生痴绝处，无梦到徽州。,3,1000,情侣,穷游 徒步 古镇 摄影 暑假
福州,于有福之州，探人生之道,2,1000,独自一人,徒步 摄影 人文 春节
西安,【西行漫记】沧桑千年情未了，回首身却在长安,3,1500,家庭,漫游 人文 春节
黄山,四个美少女的黄山梦,6,2300,三五好友,美食 人文
泸沽湖,泸沽湖—不期而遇的一场梦（最美的季节～冬）,3,1000,三五好友,人文 冬季
武陵源,穷游：（凤凰古城+张家界国家森林公园)×2人×5天=1600元,5,800,情侣,穷游 踏春
重庆,二狗和二狗媳妇的重庆~成都吃喝6日,6,2900,家庭,美食 踏春
上海,上海古镇老街游,1,100,独自一人,古镇 徒步 摄影 人文
拉萨,冬游西藏行摄之旅,7,2650,三五好友,第一次 穷游 摄影 冬季 寒假
上海,上海老街走一走,1,100,独自一人,古镇 徒步 人文
大同,山西以北，大有不同,2,800,独自一人,第一次 短途周末 徒步 人文
果洛,青海一个你未曾听闻的秘境,3,780,三五好友,摄影 美食 探险 暑假
奥克兰,一人一车穿越冬季新西兰，写给那些发生在路上的故事。,10,2000,独自一人,自驾 冬季
昆明,做自己的行者——爱上小众旅行,60,1000,三五好友,深度游
泸沽湖,泸沽湖：我在旅行的路上，你在哪儿？,4,1880,家庭,摄影 美食
涠洲岛,六月的风·涠洲岛的花开半夏,3,1300,独自一人,海滨海岛 夏季
敦煌,96年妹子一个人游走甘肃，七天时间，用1500元带你了解辽阔壮美的大西北风光,7,1500,独自一人,摄影 探险 人文
哈尔滨,不巧，北国没下雪。【哈尔滨-长春-延吉-长白山暴走9日】,9,1000,三五好友,深度游 赏秋
云龙,爱在远山·诺邓，这里没有诗也没有远方,3,700,独自一人,古镇 夏季
九华山,自驾九华山礼佛二日游,2,800,家庭,短途周末 自驾 徒步 人文 暑假
厦门,避开高峰期三天重走厦门的大街小巷,3,600,情侣,自驾 寒假
乌镇,春风十里，闺蜜周末休闲游乌镇,2,430,闺蜜,短途周末 自驾 古镇 踏春
西安,带着老、小游西安,5,1500,家庭,人文
象山,【一路向东】永嘉林坑、温岭石塘、渔山列岛纪行,1,700,家庭,自驾 夏季
顺德,#美食篇#“食在广东，厨出凤城”世界美食之都顺德！唯一让我悔恨胃不够用的地方！,1,1000,学生,穷游 古镇 美食 清明
厦门,佛系小伙伴的四人四天厦门行,3,2800,三五好友,美食 自驾 摄影
佛山,岭南文萃——佛山两日游,2,360,家庭,短途周末 五一
